seqid,source,type,start,end,strand,phase,attributes,ID,color,extended_start,extended_end,gene_id,gene_name,gene_biotype
16,Ensembl,enhancer,53789175,53789539,.,.,ID=ENSR16_9RCG3;color=#faca00,ENSR16_9RCG3,#faca00,,,,,
16,Ensembl,enhancer,53792593,53792711,.,.,ID=ENSR16_756DX2;color=#faca00,ENSR16_756DX2,#faca00,,,,,
16,Ensembl,enhancer,53809142,53809704,.,.,ID=ENSR16_BDNBX;color=#faca00,ENSR16_BDNBX,#faca00,,,,,
16,Ensembl,enhancer,53816214,53816453,.,.,ID=ENSR16_83KPGP;color=#faca00,ENSR16_83KPGP,#faca00,,,,,
16,Ensembl,enhancer,53817055,53818252,.,.,ID=ENSR16_C7C73;color=#faca00,ENSR16_C7C73,#faca00,,,,,
16,Ensembl,enhancer,53821422,53822454,.,.,ID=ENSR16_C7C7C;color=#faca00,ENSR16_C7C7C,#faca00,,,,,
16,Ensembl,enhancer,53823124,53823511,.,.,ID=ENSR16_9RCRT;color=#faca00,ENSR16_9RCRT,#faca00,,,,,
16,Ensembl,CTCF_binding_site,53824567,53824588,+,.,ID=ENSR16_5GMS6T;color=#40e0d0,ENSR16_5GMS6T,#40e0d0,,,,,
16,Ensembl,enhancer,53827798,53828049,.,.,ID=ENSR16_83KPPF;color=#faca00,ENSR16_83KPPF,#faca00,,,,,
16,Ensembl,enhancer,53829246,53829522,.,.,ID=ENSR16_9RCTM;color=#faca00,ENSR16_9RCTM,#faca00,,,,,
16,Ensembl,enhancer,53864845,53865832,.,.,ID=ENSR16_BDNM2;color=#faca00,ENSR16_BDNM2,#faca00,,,,,
16,Ensembl,enhancer,53872815,53873164,.,.,ID=ENSR16_9RDC8;color=#faca00,ENSR16_9RDC8,#faca00,,,,,
16,Ensembl,enhancer,53881313,53881778,.,.,ID=ENSR16_9RDFP;color=#faca00,ENSR16_9RDFP,#faca00,,,,,
16,Ensembl,CTCF_binding_site,53891888,53891909,-,.,ID=ENSR16_5GN8PJ;color=#40e0d0,ENSR16_5GN8PJ,#40e0d0,,,,,
16,Ensembl,enhancer,53892050,53892593,.,.,ID=ENSR16_BDNQW;color=#faca00,ENSR16_BDNQW,#faca00,,,,,
16,Ensembl,CTCF_binding_site,53892251,53892272,-,.,ID=ENSR16_5GN8R7;color=#40e0d0,ENSR16_5GN8R7,#40e0d0,,,,,
16,Ensembl,enhancer,53894048,53894438,.,.,ID=ENSR16_9RDKD;color=#faca00,ENSR16_9RDKD,#faca00,,,,,
16,Ensembl,enhancer,53911573,53911737,.,.,ID=ENSR16_83KRHT;color=#faca00,ENSR16_83KRHT,#faca00,,,,,
16,Ensembl,enhancer,53912178,53912652,.,.,ID=ENSR16_9RDQM;color=#faca00,ENSR16_9RDQM,#faca00,,,,,
16,Ensembl,enhancer,53912849,53913684,.,.,ID=ENSR16_BDNTX;color=#faca00,ENSR16_BDNTX,#faca00,,,,,
16,Ensembl,enhancer,53914037,53914205,.,.,ID=ENSR16_83KRKB;color=#faca00,ENSR16_83KRKB,#faca00,,,,,
16,Ensembl,enhancer,53922892,53923391,.,.,ID=ENSR16_9RDTQ;color=#faca00,ENSR16_9RDTQ,#faca00,,,,,
16,Ensembl,enhancer,53924539,53924886,.,.,ID=ENSR16_9RDW7;color=#faca00,ENSR16_9RDW7,#faca00,,,,,
16,Ensembl,enhancer,53925058,53925258,.,.,ID=ENSR16_83KRRN;color=#faca00,ENSR16_83KRRN,#faca00,,,,,
16,Ensembl,enhancer,53945995,53946236,.,.,ID=ENSR16_83KS8S;color=#faca00,ENSR16_83KS8S,#faca00,,,,,
16,Ensembl,CTCF_binding_site,53946105,53946126,-,.,ID=ENSR16_5GNL2J;color=#40e0d0,ENSR16_5GNL2J,#40e0d0,,,,,
16,Ensembl,enhancer,53946878,53947282,.,.,ID=ENSR16_9RF5N;color=#faca00,ENSR16_9RF5N,#faca00,,,,,
16,Ensembl,enhancer,53949843,53950042,.,.,ID=ENSR16_83KSC2;color=#faca00,ENSR16_83KSC2,#faca00,,,,,
16,Ensembl,enhancer,53952356,53953049,.,.,ID=ENSR16_BDP4M;color=#faca00,ENSR16_BDP4M,#faca00,,,,,
16,Ensembl,enhancer,53968490,53968997,.,.,ID=ENSR16_9RFCX;color=#faca00,ENSR16_9RFCX,#faca00,,,,,
16,Ensembl,enhancer,53974646,53975042,.,.,ID=ENSR16_9RFFP;color=#faca00,ENSR16_9RFFP,#faca00,,,,,
16,Ensembl,enhancer,53991220,53992296,.,.,ID=ENSR16_C7CMM;color=#faca00,ENSR16_C7CMM,#faca00,,,,,
16,Ensembl,promoter,53999959,54000165,.,.,ID=ENSR16_83KTF2;extended_start=53999959;extended_end=54000165;gene_id=ENSG00000260194;gene_biotype=lncRNA;color=#ff0000,ENSR16_83KTF2,#ff0000,53999959,54000165,ENSG00000260194,,lncRNA
16,Ensembl,enhancer,54027094,54027823,.,.,ID=ENSR16_BDPHG;color=#faca00,ENSR16_BDPHG,#faca00,,,,,
16,Ensembl,enhancer,54030551,54030717,.,.,ID=ENSR16_83KW3P;color=#faca00,ENSR16_83KW3P,#faca00,,,,,
16,Ensembl,enhancer,54031459,54031717,.,.,ID=ENSR16_9RG35;color=#faca00,ENSR16_9RG35,#faca00,,,,,
16,Ensembl,enhancer,54042493,54042732,.,.,ID=ENSR16_83KWBM;color=#faca00,ENSR16_83KWBM,#faca00,,,,,
16,Ensembl,enhancer,54049119,54051259,.,.,ID=ENSR16_D4NDX;color=#faca00,ENSR16_D4NDX,#faca00,,,,,
16,Ensembl,enhancer,54051969,54052130,.,.,ID=ENSR16_83KWJ5;color=#faca00,ENSR16_83KWJ5,#faca00,,,,,
16,Ensembl,enhancer,54062357,54063451,.,.,ID=ENSR16_C7CSR;color=#faca00,ENSR16_C7CSR,#faca00,,,,,
16,Ensembl,CTCF_binding_site,54062530,54062551,+,.,ID=ENSR16_5GPBZJ;color=#40e0d0,ENSR16_5GPBZJ,#40e0d0,,,,,
16,Ensembl,enhancer,54066551,54066794,.,.,ID=ENSR16_83KWSK;color=#faca00,ENSR16_83KWSK,#faca00,,,,,
16,Ensembl,enhancer,54077338,54077887,.,.,ID=ENSR16_BDPQP;color=#faca00,ENSR16_BDPQP,#faca00,,,,,
16,Ensembl,enhancer,54080402,54081194,.,.,ID=ENSR16_BDPR7;color=#faca00,ENSR16_BDPR7,#faca00,,,,,
