seqid,start,end,length_bp,ID,type,locus_context,distance_to_TSS_nearest_edge_bp,distance_midpoint_to_TSS_bp,midpoint,coordinate_system
16,53821422,53822454,1033,ENSR16_C7C7C,enhancer,intron 2,117266,117782.0,53821938.0,"GRCh38, 1-based inclusive"
16,53823124,53823511,388,ENSR16_9RCRT,enhancer,intron 2,118968,119161.5,53823317.5,"GRCh38, 1-based inclusive"
16,53827798,53828049,252,ENSR16_83KPPF,enhancer,intron 3,123642,123767.5,53827923.5,"GRCh38, 1-based inclusive"
16,53829246,53829522,277,ENSR16_9RCTM,enhancer,intron 3,125090,125228.0,53829384.0,"GRCh38, 1-based inclusive"
16,53864845,53865832,988,ENSR16_BDNM2,enhancer,intron 4,160689,161182.5,53865338.5,"GRCh38, 1-based inclusive"
16,53872815,53873164,350,ENSR16_9RDC8,enhancer,intron 4,168659,168833.5,53872989.5,"GRCh38, 1-based inclusive"
16,53881313,53881778,466,ENSR16_9RDFP,enhancer,intron 6,177157,177389.5,53881545.5,"GRCh38, 1-based inclusive"
16,53892050,53892593,544,ENSR16_BDNQW,enhancer,intron 7,187894,188165.5,53892321.5,"GRCh38, 1-based inclusive"
16,53894048,53894438,391,ENSR16_9RDKD,enhancer,intron 7,189892,190087.0,53894243.0,"GRCh38, 1-based inclusive"
16,53911573,53911737,165,ENSR16_83KRHT,enhancer,intron 7,207417,207499.0,53911655.0,"GRCh38, 1-based inclusive"
16,53912178,53912652,475,ENSR16_9RDQM,enhancer,intron 7,208022,208259.0,53912415.0,"GRCh38, 1-based inclusive"
16,53912849,53913684,836,ENSR16_BDNTX,enhancer,intron 7,208693,209110.5,53913266.5,"GRCh38, 1-based inclusive"
16,53914037,53914205,169,ENSR16_83KRKB,enhancer,intron 7,209881,209965.0,53914121.0,"GRCh38, 1-based inclusive"
16,53922892,53923391,500,ENSR16_9RDTQ,enhancer,intron 7,218736,218985.5,53923141.5,"GRCh38, 1-based inclusive"
16,53924539,53924886,348,ENSR16_9RDW7,enhancer,intron 7,220383,220556.5,53924712.5,"GRCh38, 1-based inclusive"
16,53925058,53925258,201,ENSR16_83KRRN,enhancer,intron 7,220902,221002.0,53925158.0,"GRCh38, 1-based inclusive"
16,53945995,53946236,242,ENSR16_83KS8S,enhancer,intron 8,241839,241959.5,53946115.5,"GRCh38, 1-based inclusive"
16,53946878,53947282,405,ENSR16_9RF5N,enhancer,intron 8,242722,242924.0,53947080.0,"GRCh38, 1-based inclusive"
16,53949843,53950042,200,ENSR16_83KSC2,enhancer,intron 8,245687,245786.5,53949942.5,"GRCh38, 1-based inclusive"
16,53952356,53953049,694,ENSR16_BDP4M,enhancer,intron 8,248200,248546.5,53952702.5,"GRCh38, 1-based inclusive"
16,53968490,53968997,508,ENSR16_9RFCX,enhancer,intron 8,264334,264587.5,53968743.5,"GRCh38, 1-based inclusive"
16,53974646,53975042,397,ENSR16_9RFFP,enhancer,intron 8,270490,270688.0,53974844.0,"GRCh38, 1-based inclusive"
16,53991220,53992296,1077,ENSR16_C7CMM,enhancer,intron 8,287064,287602.0,53991758.0,"GRCh38, 1-based inclusive"
16,54027094,54027823,730,ENSR16_BDPHG,enhancer,intron 8,322938,323302.5,54027458.5,"GRCh38, 1-based inclusive"
16,54030551,54030717,167,ENSR16_83KW3P,enhancer,intron 8,326395,326478.0,54030634.0,"GRCh38, 1-based inclusive"
16,54031459,54031717,259,ENSR16_9RG35,enhancer,intron 8,327303,327432.0,54031588.0,"GRCh38, 1-based inclusive"
16,54042493,54042732,240,ENSR16_83KWBM,enhancer,intron 8,338337,338456.5,54042612.5,"GRCh38, 1-based inclusive"
16,54049119,54051259,2141,ENSR16_D4NDX,enhancer,intron 8,344963,346033.0,54050189.0,"GRCh38, 1-based inclusive"
16,54051969,54052130,162,ENSR16_83KWJ5,enhancer,intron 8,347813,347893.5,54052049.5,"GRCh38, 1-based inclusive"
16,54062357,54063451,1095,ENSR16_C7CSR,enhancer,intron 8,358201,358748.0,54062904.0,"GRCh38, 1-based inclusive"
16,54066551,54066794,244,ENSR16_83KWSK,enhancer,intron 8,362395,362516.5,54066672.5,"GRCh38, 1-based inclusive"
16,54077338,54077887,550,ENSR16_BDPQP,enhancer,intron 8,373182,373456.5,54077612.5,"GRCh38, 1-based inclusive"
16,54080402,54081194,793,ENSR16_BDPR7,enhancer,intron 8,376246,376642.0,54080798.0,"GRCh38, 1-based inclusive"
